"0x003D","0x00D1","master","mx98715/25","i740 PCI"
"0x0E11","0xB0E1","Compaq Computer Corp.","NC3133","Fast Ethernet Module"
"0x0E11","0xB123","Compaq Computer Corp.","NC6134","Gigabit NIC"
"0x0E11","0xB134","Compaq Computer Corp.","NC3163","Fast Ethernet NIC"
"0x0E11","0xB13C","Compaq Computer Corp.","NC3162","Fast Ethernet NIC"
"0x0E11","0xB144","Compaq Computer Corp.","NC3123","Fast Ethernet NIC"
"0x0E11","0xB163","Compaq Computer Corp.","NC3134","Fast Ethernet NIC"
"0x0E11","0xB164","Compaq Computer Corp.","NC3135","Fast Ethernet Upgrade Module"
"0x0E11","0xB178","Compaq Computer Corp.","CISSB","SMART2 Array Controller"
"0x0E11","0xB196","Compaq Computer Corp.","0230","Conexant SoftK56 Modem"
"0x0E11","0xB1A4","Compaq Computer Corp.","NC7131","Gigabit Server Adapter"
"0x0E11","0xB203","Compaq Computer Corp.","iLo","Integrated Lights Out Processor"
"0x0E11","0xB204","Compaq Computer Corp.","iLo","Integrated Lights Out Processor"
"0x0E11","0xF095","Compaq Computer Corp.","FCA2101","HP StorageWorks 2 Gb, 64-Bit/66-MHz PCI-to-Fibre Channel Host Bus Adapter for Windows 2000, Windows"
"0x0E11","0xF130","Compaq Computer Corp.","","ThunderLAN 1.0 NetFlex-3/P"
"0x0E11","0xF150","Compaq Computer Corp.","","ThunderLAN 2.3 NetFlex-3/P with BNC"
"0x0E11","0xF700","Compaq Computer Corp.","","LP7000 Compaq/Emulex Fibre Channel HBA"
"0x0E11","0xF800","Compaq Computer Corp.","","LP8000 Compaq/Emulex Fibre Channel HBA"
"0x1000","0x0001","LSI Logic 53C810 Device","LSI53C810","PCI-SCSI I/O Processor"
"0x1000","0x0002","LSI Logic 53C810 Device","53C820","Fast-wide SCSI"
"0x1000","0x0003","LSI Logic 53C810 Device","LSI53C1010-33","PCI to SCSI I/O Processor"
"0x1000","0x0004","LSI Logic 53C810 Device","53C815","SCSI raid controllers"
"0x1000","0x0005","LSI Logic 53C810 Device","53C810AP","Fast SCSI"
"0x1000","0x0006","LSI Logic 53C810 Device","LSI53C860/860E","PCI to Ultra SCSI I/O Processor"
"0x1000","0x000A","LSI Logic 53C810 Device","LSI53C1510","PCI Dual Channel Wide Ultra2 SCSI Ctrlr"
"0x1000","0x000B","LSI Logic 53C810 Device","LSI53C896/897","PCI Dual Channel Wide Ultra2 SCSI Ctrlr"
"0x1000","0x000C","LSI Logic 53C810 Device","LSI53C895","PCI to Ultra2 SCSI I/O Processor"
"0x1000","0x000D","LSI Logic 53C810 Device","53C885","Ultra Wide SCSI, Ethernet"
"0x1000","0x000F","LSI Logic 53C810 Device","53C875/875E/876/876E","PCI to Ultra SCSI I/O Processor"
"0x1000","0x0010","LSI Logic 53C810 Device","LSI53C1510","I2O-Ready PCI RAID Ultra2 SCSI Ctrlr"
"0x1000","0x0012","LSI Logic 53C810 Device","LSI53C895A","PCI to Ultra2 SCSI Controller"
"0x1000","0x0013","LSI Logic 53C810 Device","LSI53C875A","PCI to Ultra SCSI Controller"
"0x1000","0x0020","LSI Logic 53C810 Device","LSI53C1010-33","PCI to Dual Channel Ultra3 SCSI Ctrlr"
"0x1000","0x0021","LSI Logic 53C810 Device","LSI53C1000/1000R/1010R/1010-66","PCI to Ultra160 SCSI Controller"
"0x1000","0x0030","LSI Logic 53C810 Device","LSI53C1020/1030","PCI-X to Ultra320 SCSI Controller"
"0x1000","0x0031","LSI Logic 53C810 Device","LSI53C1030ZC","PCI-X SCSI Controller"
"0x1000","0x0032","LSI Logic 53C810 Device","LSI53C1035","PCI-X to Ultra320 SCSI Controller"
"0x1000","0x0035","LSI Logic 53C810 Device","LSI53C1035","PCI-X SCSI Controller"
"0x1000","0x0040","LSI Logic 53C810 Device","LSI53C1035","PCI-X to Ultra320 SCSI Controller"
"0x1000","0x0050","LSI Logic 53C810 Device","LSISAS1064","PCI-X Fusion-MPT SAS"
"0x1000","0x0054","LSI Logic 53C810 Device","LSISAS1068","PCI-X Fusion-MPT SAS"
"0x1000","0x0056","LSI Logic 53C810 Device","LSISAS1064ET","PCI-Express Fusion-MPT SAS"
"0x1000","0x0058","LSI Logic 53C810 Device","LSISAS1068E","PCI-Express Fusion-MPT SAS"
"0x1000","0x005e","LSI Logic 53C810 Device","LSISAS1066","PCI-X Fusion-MPT SAS"
"0x1000","0x0062","LSI Logic 53C810 Device","LSISAS1078","PCI-Express Fusion-MPT SAS"
"0x1000","0x008F","LSI Logic 53C810 Device","53C810","LSI 53C8xx SCSI host adapter chip"
"0x1000","0x0621","LSI Logic 53C810 Device","LSIFC909","Fibre Channel I/O Processor"
"0x1000","0x0622","LSI Logic 53C810 Device","LSIFC929","Dial Channel Fibre Channel I/O Processor"
"0x1000","0x0623","LSI Logic 53C810 Device","LSIFC929","Dual Channel Fibre Channel I/O Processor"
"0x1000","0x0624","LSI Logic 53C810 Device","LSIFC919","Fibre Channel I/O Processor"
"0x1000","0x0625","LSI Logic 53C810 Device","LSIFC919","Fibre Channel I/O Processor"
"0x1000","0x0626","LSI Logic 53C810 Device","LSIFC929X","Fibre Channel Adapter"
"0x1000","0x0628","LSI Logic 53C810 Device","LSIFC919X","Fibre Channel Adapter"
"0x1000","0x0630","LSI Logic 53C810 Device","LSIFC920","Fibre Channel I/O Processor"
"0x1000","0x0640","LSI Logic 53C810 Device","LSIFC949X","Fibre Channel Adapter"
"0x1000","0x0642","LSI Logic 53C810 Device","LSIFC939X","Fibre Channel Adapter"
"0x1000","0x0646","LSI Logic 53C810 Device","LSIFC949ES","Fibre Channel Adapter"
"0x1000","0x0701","LSI Logic 53C810 Device","53C885","10/100 MBit Ethernet"
"0x1000","0x0702","LSI Logic 53C810 Device","Yellowfin G-NIC","Gigabit Ethernet Controller"
"0x1000","0x0901","LSI Logic 53C810 Device","61C102","USB Controller"
"0x1000","0x1000","LSI Logic 53C810 Device","63C815","Fast SCSI Controller"
"0x1000","0x1001","LSI Logic 53C810 Device","53C895","Symbios Ultra2 SCSI controller"
"0x1000","0x1010","LSI Logic 53C810 Device","LSI 53C102000","Single channel SCSI controller"
"0x1001","0x0010","Kolter Electronic - Germany","ispLSI1032E","PCI 1616, 16 TTL-IN, 16 TTL-OUT"
"0x1001","0x0011","Kolter Electronic - Germany","ispLSI1032E","OPTO-PCI, 16 IN / 16 OUT 24 VDC"
"0x1001","0x0012","Kolter Electronic - Germany","ispLSI1032E","PCI-AD, PCI-ADDA analog I/O-card"
"0x1001","0x0013","Kolter Electronic - Germany","ispLSI1032E","PCI-OptoRel, PCI-Relais 16 Relais & Opto"
"0x1001","0x0014","Kolter Electronic - Germany","ispLSI1032E","Timer, Pulse & Counter-card 16..32 bit"
"0x1001","0x0015","Kolter Electronic - Germany","ispLSI1032E","PCI-DAC416, 4 channel D/A16bit precision"
"0x1001","0x0016","Kolter Electronic - Germany","ispLSI1032E","PCI-MFB high-speed analog I/O"
"0x1001","0x0017","Kolter Electronic - Germany","ispLSI1032E","PROTO-3 PCI, digital I/O with chipselect"
"0x1001","0x0020","Kolter Electronic - Germany","ispLSI1032E","Universal digital I/O PCI-Interface"
"0x1002","0x00000100 (256)","ATI","{4D36E968-E325-11CE-BFC1-08002BE10318}","{4D36E968-E325-11CE-BFC1-08002BE10318}"
"0x1002","0x0B12","ATI","ati 1900","ati 1900"
"0x1002","0x10024152","ATI","0x1002","0x4150"
"0x1002","0x11","ATI","0x215r2qzua21","0xbcg62"
"0x1002","0x3150","ATI","M24 1P","Radeon Mobility X600"
"0x1002","0x3154","ATI","M24 1T","FireGL"
"0x1002","0x3E50","ATI","RV380","Radeon X600"
"0x1002","0x3E54","ATI","RV380","FireGL V3200"
"0x1002","0x4136","ATI","A3","Radeon IGP 320"
"0x1002","0x4137","ATI","RS200","Radeon IGP 340"
"0x1002","0x4144","ATI","R300","Radeon 9500 Series"
"0x1002","0x4145","ATI","R300","Radeon 9200 (M+X)"
"0x1002","0x4146","ATI","R300","Radeon 9700"
"0x1002","0x4147","ATI","","ATI Fire GL Z1  Video Accelerator"
"0x1002","0x4148","ATI","R350","Radeon 9800 SE"
"0x1002","0x4150","ATI","rv350","Radeon 9600 pro"
"0x1002","0x4151","ATI","RV350","Radeon 9600"
"0x1002","0x4152","ATI","RV360","Radeon 9600 XT"
"0x1002","0x4153","ATI","RV350","Radeon 9550"
"0x1002","0x4158","ATI","200E17af","Mach 32"
"0x1002","0x4164","ATI","Radeon 9500 Series, secondary","R300 (128bit mem bus)"
"0x1002","0x4167","ATI","","ATI Fire GL Z1 4P SECONDARY Video"
"0x1002","0x4168","ATI","R350","Radeon 9800 SE - Secondary"
"0x1002","0x4170","ATI","RV350","Radeon 9600 - Secondary"
"0x1002","0x4171","ATI","RV350","Radeon 9600 Secondary"
"0x1002","0x4172","ATI","RV360","Radeon 9600 XT - Secondary"
"0x1002","0x4173","ATI","RV350","Radeon 9550 - Secondary"
"0x1002","0x4242","ATI","R200AIW","All-In-Wonder 8500DV"
"0x1002","0x4243","ATI","","Lucent OHCI IEEE1394 Host Controller"
"0x1002","0x4336","ATI","rs200","Radeon IGP 320M"
"0x1002","0x4337","ATI","RS200M","Mobility M6 (U2)"
"0x1002","0x4341","ATI","AD1981","AC'97 Audio Controller"
"0x1002","0x4342","ATI","IXP 150","HUB Bridge"
"0x1002","0x4345","ATI","IXP 150","EHCI USB Controller"
"0x1002","0x4347","ATI","IXP 150","OHCI USB Controller #1"
"0x1002","0x4348","ATI","IXP 150","OHCI USB Controller #2"
"0x1002","0x4349","ATI","IXP 1xx/2xx","PATA 100 Controller"
"0x1002","0x434C","ATI","IXP 150","LPC Controller"
"0x1002","0x434d","ATI","a75-s226","Agere Systems AC'97 Modem device"
"0x1002","0x4353","ATI","IXP 150","SMBus Controller"
"0x1002","0x4354","ATI","215r2qzua21","mach64 ct pci"
"0x1002","0x4358","ATI","216l0sas25","Mach64 CX"
"0x1002","0x4369","ATI","IXP 3xx","PATA 133 Controller"
"0x1002","0x436E","ATI","IXP 3xx","SATA/Raid controller"
"0x1002","0x4370","ATI","IXP_AUDIO_400","IXP AC'97 Audio Controller"
"0x1002","0x4372","ATI","x200","ATI SMBus"
"0x1002","0x4376","ATI","SB4xx","PATA 133 Controller"
"0x1002","0x4378","ATI","AC97","AC97 Modem"
"0x1002","0x4379","ATI","SB4xx","SATA/Raid controller--1"
"0x1002","0x437A","ATI","SB4xx","SATA/Raid controller--2"
"0x1002","0x437B","ATI","OEM Intel Corporation&","Microsoft UAA Bus Driver for High Definition Audio"
"0x1002","0x4380&CC_0101","ATI","ATI SB600","SATA2"
"0x1002","0x4380&CC_0104","ATI","ATI ?","AHCI/Raid Controller"
"0x1002","0x4380&CC_0106","ATI","ATI ?","AHCI Controller"
"0x1002","0x4381","ATI","ATI ?","AHCI/Raid Controller"
"0x1002","0x4385","ATI","ATI RD600/RS600","ATI SMBus"
"0x1002","0x4386","ATI","690G","Northbridge"
"0x1002","0x438C","ATI","RD600/RS600","ATI RD600/RS600 IDE Controller"
"0x1002","0x4390","ATI","SB7xx","SATA2"
"0x1002","0x4391","ATI","ATI SB700","AHCI Controller"
"0x1002","0x4392","ATI","ATI SB700","Raid Controller"
"0x1002","0x4393","ATI","ATI ?","AHCI/Raid Controller"
"0x1002","0x439C","ATI","SB7xx","PATA 133 Controller"
"0x1002","0x4554","ATI","Mach64 ET",""
"0x1002","0x4654","ATI","Mach64 VT","113--34004-104"
"0x1002","0x4742","ATI","(GT-C2U2)","ATI  3D Rage Pro  AGP 2X 8mb (gt-c2u2)"
"0x1002","0x4744","ATI","Rage 3D Pro AGP 2x","Rage 3D Pro AGP 2x"
"0x1002","0x4747","ATI","Rage 3D Pro","GT-C2U2"
"0x1002","0x4749","ATI","RAGE PRO TURBO AGP 2X","ATI ALL IN WONDER PRO (8MB)"
"0x1002","0x474C","ATI","Rage XC PCI-66","k7 som+"
"0x1002","0x474D","ATI","Rage XL AGP 2x","SLAT"
"0x1002","0x474E","ATI","Rage XC AGP 2x",""
"0x1002","0x474F","ATI","Rage XL PCI-66","I Need Driver for the Chip"
"0x1002","0x4750","ATI","ATI 3D Rage Pro 215GP","ATI 3D Rage Pro 215GP"
"0x1002","0x4751","ATI","Rage 3D Pro PCI","ATI (GT-C2U2)"
"0x1002","0x4752","ATI","Rage XL PCI",""
"0x1002","0x4753","ATI","Rage XC PCI",""
"0x1002","0x4754","ATI","Mach 64 VT","Rage 3D II Graphics Accelerator"
"0x1002","0x4755","ATI","Rage 3D II+pci","3d rage 2 + dvd"
"0x1002","0x4756","ATI","Rage 3D IIC AGP","Graphics Accelerator"
"0x1002","0x4757","ATI","3D 11C AGP","Rage 3D IIC AGP"
"0x1002","0x4758","ATI","210888GX","Mach 64 GT"
"0x1002","0x4759","ATI","215r2qzua21","m3d agp card on agp slot"
"0x1002","0x475A","ATI","215r2qua12","Rage IIC AGP"
"0x1002","0x4966","ATI","RV250","Radeon 9000/9000 Pro"
"0x1002","0x4967","ATI","RV250","Radeon 9000"
"0x1002","0x496E","ATI","RV250","Radeon 9000/9000 Pro - Secondary"
"0x1002","0x496F","ATI","RV250","Radeon 9000 - Secondary"
"0x1002","0x4a49","ATI","R423","Radeon X800 gt"
"0x1002","0x4a4b","ATI","R420","RADEON X800 XT"
"0x1002","0x4a6b","ATI","R420","RADEON X800 XT Secondary"
"0x1002","0x4C42","ATI","B10E0E11","Rage 3D LT Pro AGP 133 MHz"
"0x1002","0x4C44","ATI","Rage 3D LT Pro AGP","Rage 3D LT Pro AGP 133 MHz"
"0x1002","0x4C45","ATI","","Rage Mobility M3 AGP"
"0x1002","0x4C46","ATI","Mobility M3 AGP","0x4c46"
"0x1002","0x4C47","ATI","ati rage pro","Rage 3D LT-G"
"0x1002","0x4C49","ATI","123","Rage 3D LT Pro"
"0x1002","0x4C4D","ATI","01541014","Rage P/M Mobility AGP 2x"
"0x1002","0x4C4E","ATI","216lo sasa25","Rage Mobility l"
"0x1002","0x4C50","ATI","VEN_1002&DEV_4C50&SUBSYS_4C501002&REV_DC","Rage 3D LT Pro PCI"
"0x1002","0x4C51","ATI","113","Rage 3D LT Pro PCI"
"0x1002","0x4C52","ATI","1241243","Rage P/M Mobility agp"
"0x1002","0x4C53","ATI","216L0SASA25","Rage L Mobility PCI"
"0x1002","0x4C54","ATI","","Mach 64 LT"
"0x1002","0x4C57","ATI","fdds","Radeon Mobility M7 LW"
"0x1002","0x4C58","ATI","","FireGL Mobility"
"0x1002","0x4C59","ATI","Mobility 6","Radeon Mobility M6 Series"
"0x1002","0x4C5A","ATI","","Radeon Mobility M6 LZ"
"0x1002","0x4C64","ATI","","Radeon Mobility M9-GL"
"0x1002","0x4C66","ATI","ATI MOBILITY RADEON 9000 (Microsoft Corporation -","Radeon Mobility M9"
"0x1002","0x4D46","ATI","ATI mobility128","Rage Mobility 128 AGP 4x"
"0x1002","0x4D4C","ATI","","Rage Mobility 128 AGP"
"0x1002","0x4D52","ATI","ATI Theater 550 Pro","ATI Theater 550 Pro"
"0x1002","0x4E44","ATI","R300","Radeon 9700/9500 Series"
"0x1002","0x4E45","ATI","R300","Radeon 9500 Pro"
"0x1002","0x4e46","ATI","R300","Radeon 9600TX"
"0x1002","0x4E47","ATI","","ATI Fire GL X1/Z1 Video Accelerator"
"0x1002","0x4E48","ATI","R360","Radeon 9800 Pro"
"0x1002","0x4E49","ATI","R350","Radeon 9800"
"0x1002","0x4E4A","ATI","R360","Radeon 9800 XT"
"0x1002","0x4E4B","ATI","FGL9800XT","ATI FIREGL X2-256T"
"0x1002","0x4E50","ATI","RV360M10","Radeon Mobility 9600 Pro"
"0x1002","0x4E54","ATI","RV350-WS","Radeon Mobility M10 NT"
"0x1002","0x4E64","ATI","R300","Radeon 9700 Pro"
"0x1002","0x4E65","ATI","R300","Radeon 9700/9500 Series - Secondary"
"0x1002","0x4e66","ATI","R300","Radeon 9600TX - Secondary"
"0x1002","0x4E67","ATI","","Fire GL X1/Z1 AGP [Pro] Secondary Video"
"0x1002","0x4E68","ATI","R350","Radeon 9800 Pro - Secondary"
"0x1002","0x4E69","ATI","R350","Radeon 9800 - Secondary"
"0x1002","0x4E6A","ATI","R350","Radeon 9800 XT - Secondary"
"0x1002","0x4E6B","ATI","FGL9800XT","ATI FIREGL X2-256T Secondary"
"0x1002","0x5041","ATI","gt","Rage 128 Pro PA PCI"
"0x1002","0x5042","ATI","","Rage 128 Pro PB AGP 2x"
"0x1002","0x5043","ATI","1231324445","Rage 128 Pro PC AGP 4x"
"0x1002","0x5044","ATI","rv100","Rage 128 Pro PD PCI"
"0x1002","0x5045","ATI","","Rage 128 Pro PE AGP 2x"
"0x1002","0x5046","ATI","5046","Rage 128 Pro PF AGP 4x"
"0x1002","0x5047","ATI","215R3BUA22"," 3d Rage pro agp 2x"
"0x1002","0x5048","ATI","Rage 128 Pro PH AGP","Rage 128 Pro PH AGP 2x"
"0x1002","0x5049","ATI","bk2.0.2.vr001.001.002.002.004.025.prt3.ty.t","Rage 128 Pro PI AGP 4x"
"0x1002","0x504A","ATI","Rage 128 Pro PJ PCI","Rage 128 Pro PJ PCI (TMDS)"
"0x1002","0x504B","ATI","Rage 128 Pro PK AGP","Rage 128 Pro PK AGP 2x (TMDS)"
"0x1002","0x504C","ATI","Rage 128 Pro PL AGP","4x (TMDS)"
"0x1002","0x504D","ATI","Rage 128 Pro PM PCI","Rage 128 Pro PM PCI"
"0x1002","0x504E","ATI","Rage 128 Pro PN AGP","Rage 128 Pro PN AGP 2x"
"0x1002","0x504F","ATI","Rage 128 Pro PO AGP","Rage 128 Pro PO AGP 4x"
"0x1002","0x5050","ATI","Scheda Grafica Standard PCI(VGA)","Rage 128 Pro PP PCI (TMDS)"
"0x1002","0x5051","ATI","Rage 128 Pro PQ AGP","Rage 128 Pro PQ AGP 2x (TMDS)"
"0x1002","0x5052","ATI","Rage 128 Pro PR AGP","Rage 128 Pro PR AGP 4x (TMDS)"
"0x1002","0x5053","ATI","Rage 128 Pro PS PCI","Rage 128 Pro PS PCI"
"0x1002","0x5054","ATI","Rage 128 Pro PT AGP","Rage 128 Pro PT AGP 2x"
"0x1002","0x5055","ATI","rage 128 pro agp 4x tmds","rage 128 pro agp 4x tmds"
"0x1002","0x5056","ATI","Rage 128 Pro PV PCI","Rage 128 Pro PV PCI (TMDS)"
"0x1002","0x5057","ATI","Rage 128 Pro PW AGP","Rage 128 Pro PW AGP 2x (TMDS)"
"0x1002","0x5058","ATI","Rage 128 Pro","PX AGP 4x (TMDS)"
"0x1002","0x5144","ATI","Radeon 7200 QD SDR/DDR","Radeon 7200 QD SDR/DDR"
"0x1002","0x5145","ATI","","Radeon QE"
"0x1002","0x5146","ATI","","Radeon QF"
"0x1002","0x5147","ATI","","Radeon QG"
"0x1002","0x5148","ATI","R200","Radeon R200 QH"
"0x1002","0x5149","ATI","","Radeon R200 QI"
"0x1002","0x514A","ATI","","Radeon R200 QJ"
"0x1002","0x514B","ATI","","Radeon R200 QK"
"0x1002","0x514C","ATI","R200","Radeon 8500 / 8500LE"
"0x1002","0x514D","ATI","R200","Redeon 9100 Series"
"0x1002","0x514E","ATI","","Radeon R200 QM"
"0x1002","0x514F","ATI","","Radeon R200 QN"
"0x1002","0x5157","ATI","RV200","Radeon 7500"
"0x1002","0x5158","ATI","radeon 9700 or 9200","Radeon 7500 QX"
"0x1002","0x5159","ATI","RV100","Radeon 7000 / Radeon VE"
"0x1002","0x515A","ATI","","Radeon VE QZ"
"0x1002","0x515E","ATI","Radeon ES1000","Radeon ES1000"
"0x1002","0x5168","ATI","","Radeon R200 Qh"
"0x1002","0x5169","ATI","","Radeon R200 Qi"
"0x1002","0x516A","ATI","","Radeon R200 Qj"
"0x1002","0x516B","ATI","","Radeon R200 Qk"
"0x1002","0x516C","ATI","E7505","Radeon 8500 / 8500LE"
"0x1002","0x516D","ATI","R200","Redeon 9100 Series - Secondary"
"0x1002","0x5245","ATI","215R46ASA22","Rage 128 GL PCI"
"0x1002","0x5246","ATI","Rage 128 PRO","Rage 32MB"
"0x1002","0x5247","ATI","","Rage 128 RG"
"0x1002","0x524B","ATI","g01080-108","Rage 128 VR RK PCI"
"0x1002","0x524C","ATI","","Rage 128 VR RL AGP 2x"
"0x1002","0x5345","ATI","","Rage 128 4x SE PCI"
"0x1002","0x5346","ATI","Rage 128 SF 4x AGP 2x","Rage 128 SF 4x AGP 2x"
"0x1002","0x5347","ATI","","Rage 128 SG 4x AGP 4x"
"0x1002","0x5348","ATI","","Rage 128 4x SH"
"0x1002","0x534B","ATI","Rage 128 SK PCI","Rage 128 4x SK PCI"
"0x1002","0x534C","ATI","Rage 128 SL AGP 2x","Rage 128 4x SL AGP 2x"
"0x1002","0x534D","ATI","Rage 128 SM AGP 4x","Rage 128 4x SM AGP 4x"
"0x1002","0x534E","ATI","Rage 128 4x",""
"0x1002","0x5354","ATI","","Mach 64 ST"
"0x1002","0x5446","ATI","Rage 128 PRO ULTRA","Video Controller (VGA Compatible)"
"0x1002","0x544C","ATI","","Rage 128 Pro TL"
"0x1002","0x5452","ATI","","Rage 128 Pro TR"
"0x1002","0x5455","ATI","","Rage 128 Pro Ultra TU"
"0x1002","0x5460","ATI","RV370","Radeon X300 Mobility (M22)"
"0x1002","0x554D","ATI","R430","Radeon X800 XL"
"0x1002","0x5551","ATI","R423GL-SE","ATI FIREGL V5100 PCI-EX Primary"
"0x1002","0x556D","ATI","R430","Radeon X800 XL - Secondary"
"0x1002","0x5571","ATI","R423GL-SE","ATI FIREGL V5100 PCI-EX Secondary"
"0x1002","0x5653","ATI","R410","Mobility X700"
"0x1002","0x5654","ATI","215VT2CA42","Mach 64 VT VIDEO XPRESSION"
"0x1002","0x5655","ATI","","Mach 64 VT3"
"0x1002","0x5656","ATI","Mach 64 VT4 PCI","Mach 64 VT4 PCI"
"0x1002","0x5830","ATI","RS300","Host Bridge"
"0x1002","0x5831","ATI","RS300","Host Bridge"
"0x1002","0x5832","ATI","RS300","Host Bridge"
"0x1002","0x5833","ATI","Radeon 9100 IGP","Host Bridge"
"0x1002","0x5834","ATI","RS300","Radeon 9100 IGP"
"0x1002","0x5835","ATI","RS300","Mobilitiy Radeon 9100 IGP AGP"
"0x1002","0x5838","ATI","Radeon 9100 IGP","AGP Bridge"
"0x1002","0x5940","ATI","RV280","www.ati.comRadeon 9200 Pro - Secondary"
"0x1002","0x5941","ATI","RV280","ATI Radeon 9200 - Secondary"
"0x1002","0x5954","ATI","na","ATI Radeon Xpress 200 Series - RS480"
"0x1002","0x5955","ATI","???","Mobility Radeon XPRESS 200"
"0x1002","0x5960","ATI","RV280","Radeon 9200 Pro"
"0x1002","0x5961","ATI","RV280","ATI RADEON 9200 se agp"
"0x1002","0x5964","ATI","Radeon 9200","Radeon 9200 SE Series"
"0x1002","0x5965","ATI","Nvidia","FireMV 2200"
"0x1002","0x5975","ATI","Radeon Xpress 1100","ATI Radeon X1100"
"0x1002","0x5a31","ATI","unknown","unknown"
"0x1002","0x5A33","ATI","RC410","Northbridge: Radeon Xpress 200"
